测试时间,条码,软件版本号,硬件版本号,环境温度(℃),温度保留1(℃),温度保留2(℃),满充容量(mAh),剩余电量(mAh),SOC(%),总电压(mV),实时电流(mA),循环放电次数(次),Pack状态(/),电池状态(/),Pack配置(/),制造信息(/),电芯温度1(℃),电芯温度2(℃),电芯温度3(℃),电芯温度4(℃),湿度(%),功率温度(℃),AFE状态(/),最高电压(mV),最高电压单体号(/),最低电压(mV),最低电压单体号(/),单体最大温度(℃),单体最小温度(℃),均衡状态(/),RTC通讯状态(/),EEPROM通讯状态(/),最大压差(mV),温差(℃),电芯01电压(mV),电芯02电压(mV),电芯03电压(mV),电芯04电压(mV),电芯05电压(mV),电芯06电压(mV),电芯07电压(mV),电芯08电压(mV),电芯09电压(mV),电芯10电压(mV),电芯11电压(mV),电芯12电压(mV),电芯13电压(mV),电芯14电压(mV),电芯15电压(mV),电芯16电压(mV),
2020年06月19日 09时53分14秒,BCB9920063000000,FWBAT-GX-A8-V020,HWBAT-GX-A8-V100,27.0,0.0,0.0,23000,1367,5,51120,0,211,20 00 ,00 00 ,0,0,27,27,27,27,61,27,01 ,3197,3,3194,5,27,27,00 00 ,01 ,01 ,3,0,3195,3195,3197,3196,3194,3194,3195,3195,3195,3194,3194,3195,3195,3195,3195,3196
2020年06月26日 16时27分23秒,BCB9920063000000,FWBAT-GX-A8-V020,HWBAT-GX-A8-V100,31.0,0.0,0.0,23000,1232,5,51043,0,211,20 00 ,00 00 ,0,0,30,30,30,30,72,31,01 ,3192,7,3189,6,30,30,00 00 ,01 ,01 ,3,0,3191,3190,3190,3190,3190,3189,3192,3190,3191,3191,3190,3189,3190,3189,3190,3191
2020年06月28日 09时19分55秒,BCB9920063000000,FWBAT-GX-A8-V020,HWBAT-GX-A8-V100,27.0,0.0,0.0,23000,1215,5,51063,0,211,20 00 ,00 00 ,0,0,27,27,27,27,80,26,01 ,3193,3,3190,6,27,27,00 00 ,01 ,01 ,3,0,3192,3191,3193,3191,3191,3190,3193,3191,3192,3192,3191,3191,3191,3190,3191,3193
2020年08月21日 11时11分09秒,BCB9920082150079,FWBAT-GX-A10-V012C,HWBAT-GX-A10-V100,27.0,0.0,0.0,23000,13624,59,52592,0,20,A0 00 ,00 00 ,0,0,28,27,28,28,45,27,01 ,3289,4,3285,1,28,27,00 00 ,01 ,01 ,4,1,3285,3288,3288,3289,3285,3286,3286,3288,3286,3286,3285,3288,3288,3288,3288,3288
2020年08月21日 11时12分10秒,BCB9920082150079,FWBAT-GX-A10-V012C,HWBAT-GX-A10-V100,27.0,0.0,0.0,23000,13624,59,52590,0,20,A0 00 ,00 00 ,0,0,28,27,28,28,45,27,01 ,3289,4,3285,1,28,27,00 00 ,01 ,01 ,4,1,3285,3288,3288,3289,3285,3286,3286,3288,3285,3285,3285,3288,3288,3288,3288,3288
2020年09月28日 14时43分34秒,1458723694568231,FWBAT-GX-A8-V024M,HWBAT-GX-A8-V101,27.0,2731,2731,15000,529,3,51375,0,0,20 03 ,00 00 ,0,10000,28,28,28,28,0,27,01 ,3223,6,3040,1,28,28,00 00 ,01 ,01 ,183,0,3040,3222,3222,3222,3222,3223,3223,3223,3222,3223,3223,3221,3222,3223,3222,3222
2020年09月28日 14时50分00秒,1458723694568231,FWBAT-GX-A8-V024M,HWBAT-GX-A8-V101,27.0,2731,2731,15000,527,3,51362,0,0,20 03 ,00 00 ,0,10000,27,28,28,28,0,27,01 ,3223,6,3030,1,28,27,00 00 ,01 ,01 ,193,1,3030,3222,3222,3222,3222,3223,3223,3222,3222,3222,3222,3221,3222,3222,3223,3222
2020年09月28日 14时52分13秒,1458723694568231,FWBAT-GX-A8-V024M,HWBAT-GX-A8-V101,27.0,2731,2731,15000,526,3,51365,0,0,20 03 ,00 00 ,0,10000,27,28,28,27,0,27,01 ,3223,7,3033,1,28,27,00 00 ,01 ,01 ,190,1,3033,3222,3222,3222,3222,3222,3223,3222,3223,3222,3223,3221,3222,3222,3222,3222
2020年09月28日 14时52分54秒,1458723694568231,FWBAT-GX-A8-V024M,HWBAT-GX-A8-V101,27.0,2731,2731,15000,526,3,51362,0,0,20 03 ,00 00 ,0,10000,27,28,28,27,0,27,01 ,3223,7,3031,1,28,27,00 00 ,01 ,01 ,192,1,3031,3222,3222,3222,3222,3222,3223,3223,3222,3222,3222,3221,3222,3222,3222,3222
2020年09月28日 14时53分12秒,1458723694568231,FWBAT-GX-A8-V024M,HWBAT-GX-A8-V101,27.0,2731,2731,15000,525,3,51361,0,0,20 03 ,00 00 ,0,10000,27,28,28,27,0,27,01 ,3223,7,3031,1,28,27,00 00 ,01 ,01 ,192,1,3031,3222,3222,3222,3222,3222,3223,3223,3222,3222,3222,3221,3222,3222,3222,3221
2020年09月28日 15时03分53秒,1458723694568231,FWBAT-GX-A8-V024M,HWBAT-GX-A8-V101,27.0,2731,2731,15000,521,3,51366,0,0,20 03 ,00 00 ,0,10000,27,28,28,27,0,27,01 ,3222,3,3039,1,28,27,00 00 ,01 ,01 ,183,1,3039,3221,3222,3222,3222,3222,3222,3222,3222,3222,3222,3221,3222,3222,3222,3221
2020年09月28日 15时04分42秒,1458723694568231,FWBAT-GX-A8-V024M,HWBAT-GX-A8-V101,27.0,2731,2731,15000,521,3,51369,0,0,20 03 ,00 00 ,0,10000,27,28,28,27,0,27,01 ,3222,2,3041,1,28,27,00 00 ,01 ,01 ,181,1,3041,3222,3222,3222,3222,3222,3222,3222,3222,3222,3222,3221,3222,3222,3222,3221
2020年09月28日 15时05分21秒,1458723694568231,FWBAT-GX-A8-V024M,HWBAT-GX-A8-V101,27.0,2731,2731,15000,521,3,51359,0,0,20 03 ,00 00 ,0,10000,27,28,28,27,0,27,01 ,3222,2,3031,1,28,27,00 00 ,01 ,01 ,191,1,3031,3222,3222,3222,3222,3222,3222,3222,3222,3222,3222,3221,3222,3222,3222,3221
2020年09月28日 15时07分03秒,1458723694568231,FWBAT-GX-A8-V024M,HWBAT-GX-A8-V101,27.0,2731,2731,15000,520,3,51358,0,0,20 03 ,00 00 ,0,10000,27,28,28,27,0,27,01 ,3222,2,3030,1,28,27,00 00 ,01 ,01 ,192,1,3030,3222,3222,3222,3222,3222,3222,3222,3222,3222,3222,3221,3222,3222,3222,3221
2020年09月28日 15时09分02秒,1458723694568231,FWBAT-GX-A8-V024M,HWBAT-GX-A8-V101,27.0,2731,2731,15000,519,3,51361,0,0,20 03 ,00 00 ,0,10000,27,28,28,27,0,27,01 ,3222,2,3032,1,28,27,00 00 ,01 ,01 ,190,1,3032,3222,3222,3222,3222,3222,3222,3222,3222,3222,3222,3221,3222,3222,3222,3221
2020年09月28日 15时10分40秒,1458723694568231,FWBAT-GX-A8-V024M,HWBAT-GX-A8-V101,27.0,2731,2731,15000,518,3,51360,0,0,20 03 ,00 00 ,0,10000,27,28,28,27,0,27,01 ,3222,2,3032,1,28,27,00 00 ,01 ,01 ,190,1,3032,3222,3222,3222,3222,3222,3222,3222,3222,3222,3222,3221,3222,3222,3222,3221
2020年09月28日 15时10分48秒,1458723694568231,FWBAT-GX-A8-V024M,HWBAT-GX-A8-V101,27.0,2731,2731,15000,518,3,51361,0,0,20 03 ,00 00 ,0,10000,27,28,28,27,0,27,01 ,3222,2,3033,1,28,27,00 00 ,01 ,01 ,189,1,3033,3222,3222,3222,3222,3222,3222,3222,3222,3222,3222,3221,3222,3222,3222,3221
2020年09月28日 15时11分39秒,1458723694568231,FWBAT-GX-A8-V024M,HWBAT-GX-A8-V101,27.0,2731,2731,15000,518,3,51367,0,0,20 03 ,00 00 ,0,10000,27,28,28,27,0,27,01 ,3222,2,3039,1,28,27,00 00 ,01 ,01 ,183,1,3039,3222,3222,3222,3222,3222,3222,3222,3222,3222,3222,3221,3222,3222,3222,3221
2020年09月28日 15时46分32秒,1458723694568231,FWBAT-GX-A8-V024M,HWBAT-GX-A8-V101,27.0,2731,2731,15000,507,3,51343,0,0,20 03 ,00 00 ,0,10000,27,27,27,27,0,27,01 ,3221,2,3030,1,27,27,00 00 ,01 ,01 ,191,0,3030,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3220,3221,3221,3221,3220
2020年09月28日 15时47分33秒,1458723694568231,FWBAT-GX-A8-V024M,HWBAT-GX-A8-V101,27.0,2731,2731,15000,506,3,51344,0,0,20 03 ,00 00 ,0,10000,27,27,27,27,0,27,01 ,3221,2,3031,1,27,27,00 00 ,01 ,01 ,190,0,3031,3221,3221,3221,3221,3221,3221,3221,3221,3221,3221,3220,3221,3221,3221,3220
